Company Name,Fuel Type,Seller Type,Transmission,Owner
Maruti,Petrol,Individual,Manual,First Owner
Maruti,Petrol,Individual,Manual,First Owner
Hyundai,Diesel,Individual,Manual,First Owner
Datsun,Petrol,Individual,Manual,First Owner
Honda,Diesel,Individual,Manual,Second Owner
Maruti,Petrol,Individual,Manual,First Owner
Hyundai,Petrol,Individual,Manual,First Owner
Tata,Petrol,Individual,Manual,Second Owner
Hyundai,Petrol,Individual,Manual,First Owner
Maruti,CNG,Individual,Manual,First Owner
Chevrolet,Petrol,Individual,Manual,First Owner
Tata,Petrol,Individual,Manual,First Owner
Toyota,Petrol,Dealer,Automatic,First Owner
Maruti,Petrol,Individual,Manual,First Owner
Maruti,Petrol,Individual,Manual,First Owner
Hyundai,Diesel,Individual,Manual,First Owner
Datsun,Petrol,Individual,Manual,First Owner
Honda,Diesel,Individual,Manual,Second Owner
Maruti,Petrol,Individual,Manual,First Owner
Hyundai,Petrol,Individual,Manual,First Owner
Tata,Petrol,Individual,Manual,Second Owner
Hyundai,Petrol,Individual,Manual,First Owner
Maruti,CNG,Individual,Manual,First Owner
Chevrolet,Petrol,Individual,Manual,First Owner
Tata,Petrol,Individual,Manual,First Owner
Toyota,Petrol,Dealer,Automatic,First Owner
Maruti,Petrol,Dealer,Manual,First Owner
Hyundai,Diesel,Dealer,Manual,First Owner
Chevrolet,Diesel,Individual,Manual,Second Owner
Jaguar,Diesel,Dealer,Automatic,First Owner
Mercedes-Benz,Diesel,Dealer,Automatic,First Owner
Maruti,Diesel,Dealer,Automatic,First Owner
Audi,Diesel,Dealer,Automatic,First Owner
Honda,Petrol,Dealer,Manual,First Owner
Tata,Petrol,Individual,Manual,First Owner
Audi,Diesel,Dealer,Automatic,First Owner
Mercedes-Benz,Diesel,Dealer,Automatic,Second Owner
Skoda,Diesel,Dealer,Automatic,Second Owner
Toyota,Petrol,Individual,Automatic,First Owner
Toyota,Diesel,Individual,Manual,First Owner
Jeep,Petrol,Individual,Manual,First Owner
Mercedes-Benz,Petrol,Dealer,Automatic,First Owner
Hyundai,Petrol,Individual,Manual,Fourth & Above Owner
BMW,Diesel,Dealer,Automatic,Second Owner
Audi,Diesel,Dealer,Automatic,Third Owner
Hyundai,Diesel,Individual,Manual,First Owner
Mahindra,Diesel,Individual,Manual,First Owner
Honda,Diesel,Individual,Manual,Second Owner
Maruti,Petrol,Individual,Manual,Second Owner
