Company Name,Image
Maruti,https://1000logos.net/wp-content/uploads/2022/08/Maruti-Suzuki-Logo-2000.png
Hyundai,https://www.logo-designer.co/storage/2017/12/2017-new-Hyundai-logo-design.png
Datsun,https://upload.wikimedia.org/wikipedia/en/thumb/d/d1/Datsun_logo.svg/640px-Datsun_logo.svg.png
Honda,https://cdn.pixabay.com/photo/2016/08/15/18/18/honda-1596081_1280.png
Tata,https://i.pinimg.com/736x/5b/ac/94/5bac942d02e70ce67498bf2ff04efe97.jpg
Chevrolet,https://i.pinimg.com/736x/28/c2/47/28c247d8fd03ec09519fabbf18f81f66.jpg
Toyota,https://1000logos.net/wp-content/uploads/2018/02/Toyota-logo.png
Jaguar,https://w7.pngwing.com/pngs/471/251/png-transparent-jaguar-cars-luxury-vehicle-logo-jaguar-angle-animals-company.png
Mercedes-Benz,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRWKQVZ_8aYAiwRqMSPNMuFUA0WVoUZFYs9Ww&s
,
,
,
,
