Company Name,Fuel Type,Seller Type,Transmission,Owner
Maruti,Petrol,Individual,Manual,First Owner
Skoda,Petrol,Individual,Manual,First Owner
Honda,Diesel,Individual,Manual,First Owner
Hyundai,Petrol,Individual,Manual,First Owner
Maruti,Diesel,Individual,Manual,Second Owner
Hyundai,Petrol,Individual,Manual,First Owner
Maruti,Petrol,Individual,Manual,First Owner
Maruti,Petrol,Individual,Manual,Second Owner
Toyota,Petrol,Individual,Manual,First Owner
Ford,CNG,Individual,Manual,First Owner
Renault,Petrol,Individual,Manual,First Owner
Maruti,Petrol,Individual,Manual,First Owner
Maruti,Petrol,Dealer,Automatic,First Owner
Maruti,Petrol,Individual,Manual,First Owner
Maruti,Petrol,Individual,Manual,First Owner
Mahindra,Diesel,Individual,Manual,First Owner
Maruti,Petrol,Individual,Manual,First Owner
Hyundai,Diesel,Individual,Manual,Second Owner
Maruti,Petrol,Individual,Manual,First Owner
Hyundai,Petrol,Individual,Manual,First Owner
Mahindra,Petrol,Individual,Manual,Second Owner
Honda,Petrol,Individual,Manual,First Owner
Maruti,CNG,Individual,Manual,First Owner
Maruti,Petrol,Individual,Manual,First Owner
Tata,Petrol,Individual,Manual,First Owner
Maruti,Petrol,Dealer,Automatic,First Owner
Maruti,Petrol,Dealer,Manual,First Owner
Chevrolet,Diesel,Dealer,Manual,First Owner
Maruti,Diesel,Individual,Manual,Second Owner
Maruti,Diesel,Dealer,Automatic,First Owner
Maruti,Diesel,Dealer,Automatic,First Owner
Fiat,Diesel,Dealer,Automatic,First Owner
Maruti,Diesel,Dealer,Automatic,First Owner
Hyundai,Petrol,Dealer,Manual,First Owner
Maruti,Petrol,Individual,Manual,First Owner
Maruti,Diesel,Dealer,Automatic,First Owner
Maruti,Diesel,Dealer,Automatic,Second Owner
Hyundai,Diesel,Dealer,Automatic,Second Owner
Datsun,Petrol,Individual,Automatic,First Owner
Tata,Diesel,Individual,Manual,First Owner
Maruti,Petrol,Individual,Manual,First Owner
Jeep,Petrol,Dealer,Automatic,First Owner
Honda,Petrol,Individual,Manual,Fourth & Above Owner
Honda,Diesel,Dealer,Automatic,Second Owner
Maruti,Diesel,Dealer,Automatic,Third Owner
Maruti,Diesel,Individual,Manual,First Owner
Maruti,Diesel,Individual,Manual,First Owner
Toyota,Diesel,Individual,Manual,Second Owner
Toyota,Petrol,Individual,Manual,Second Owner
Mercedes-Benz,Petrol,Individual,Manual,Second Owner
Honda,Diesel,Individual,Manual,Second Owner
Mitsubishi,Petrol,Individual,Manual,Third Owner
Honda,Petrol,Individual,Manual,First Owner
Maruti,Petrol,Individual,Manual,First Owner
Honda,Diesel,Dealer,Manual,First Owner
Toyota,Petrol,Dealer,Manual,First Owner
Toyota,Diesel,Dealer,Manual,First Owner
Audi,Petrol,Dealer,Manual,First Owner
Toyota,Diesel,Dealer,Manual,First Owner
Audi,Diesel,Dealer,Manual,First Owner
Mercedes-Benz,Petrol,Individual,Manual,Second Owner
Tata,Diesel,Individual,Manual,Second Owner
Hyundai,Diesel,Dealer,Manual,First Owner
Hyundai,Petrol,Dealer,Manual,First Owner
Maruti,Diesel,Individual,Manual,First Owner
Ford,Petrol,Dealer,Manual,Second Owner
Maruti,Diesel,Dealer,Manual,First Owner
Volkswagen,Petrol,Dealer,Manual,Second Owner
Honda,Petrol,Individual,Manual,First Owner
Maruti,Diesel,Individual,Manual,Second Owner
Volkswagen,Diesel,Individual,Manual,First Owner
Maruti,Diesel,Individual,Manual,First Owner
Maruti,Petrol,Individual,Manual,First Owner
Hyundai,Diesel,Individual,Manual,First Owner
Maruti,Diesel,Individual,Manual,Third Owner
Toyota,Diesel,Individual,Manual,Fourth & Above Owner
Maruti,Petrol,Individual,Manual,Third Owner
Maruti,Diesel,Individual,Manual,First Owner
Tata,Diesel,Individual,Manual,First Owner
Volkswagen,Petrol,Individual,Automatic,Second Owner
Toyota,Petrol,Individual,Manual,Second Owner
Ford,Diesel,Individual,Manual,Second Owner
BMW,Petrol,Individual,Manual,Third Owner
Maruti,Petrol,Individual,Manual,Second Owner
Datsun,Diesel,Individual,Manual,First Owner
Maruti,Diesel,Individual,Manual,First Owner
Maruti,Petrol,Dealer,Manual,First Owner
Maruti,Petrol,Dealer,Manual,First Owner
Hyundai,Petrol,Dealer,Manual,First Owner
Maruti,Diesel,Dealer,Automatic,First Owner
Maruti,Diesel,Individual,Manual,First Owner
Volkswagen,Diesel,Individual,Manual,First Owner
Hyundai,Petrol,Dealer,Manual,Second Owner
Volkswagen,Diesel,Dealer,Manual,First Owner
Maruti,Diesel,Dealer,Automatic,Second Owner
Hyundai,Diesel,Individual,Manual,Second Owner
Maruti,Diesel,Dealer,Automatic,First Owner
Hyundai,Petrol,Dealer,Manual,Second Owner
Maruti,Petrol,Individual,Manual,First Owner
Hyundai,Diesel,Dealer,Automatic,First Owner
Maruti,Petrol,Dealer,Automatic,First Owner
Tata,Petrol,Dealer,Automatic,First Owner
Maruti,Diesel,Individual,Automatic,First Owner
Maruti,Diesel,Dealer,Automatic,First Owner
Maruti,Petrol,Dealer,Manual,First Owner
Mahindra,Diesel,Dealer,Automatic,First Owner
Ford,Diesel,Individual,Manual,First Owner
Hyundai,Diesel,Individual,Manual,First Owner
Volkswagen,Petrol,Individual,Manual,First Owner
Tata,Diesel,Individual,Manual,First Owner
Mahindra,Petrol,Individual,Manual,First Owner
Tata,Petrol,Individual,Manual,First Owner
Hyundai,Diesel,Individual,Manual,First Owner
Hyundai,Petrol,Individual,Manual,Fourth & Above Owner
Toyota,Petrol,Individual,Manual,Third Owner
Maruti,Petrol,Individual,Manual,First Owner
Maruti,Diesel,Individual,Manual,First Owner
Maruti,Diesel,Individual,Manual,Second Owner
Maruti,Petrol,Individual,Automatic,First Owner
Maruti,Diesel,Individual,Manual,Second Owner
Nissan,Petrol,Individual,Manual,Second Owner
Hyundai,Diesel,Individual,Manual,Second Owner
Ford,Diesel,Individual,Manual,Second Owner
Maruti,Petrol,Individual,Manual,First Owner
Renault,Petrol,Individual,Manual,First Owner
Maruti,Diesel,Individual,Manual,Fourth & Above Owner
Maruti,Petrol,Individual,Manual,Second Owner
Maruti,Diesel,Individual,Manual,First Owner
Hyundai,Diesel,Individual,Manual,Second Owner
Maruti,Diesel,Individual,Manual,Second Owner
Honda,Petrol,Individual,Manual,First Owner
Audi,Diesel,Individual,Manual,Second Owner
Lexus,Diesel,Individual,Manual,Third Owner
Jaguar,Diesel,Dealer,Manual,First Owner
Jeep,Petrol,Dealer,Manual,First Owner
Land,Diesel,Dealer,Manual,First Owner
Mercedes-Benz,Petrol,Individual,Manual,First Owner
BMW,Petrol,Individual,Manual,Fourth & Above Owner
BMW,Petrol,Individual,Manual,First Owner
BMW,Petrol,Individual,Manual,First Owner
Skoda,Diesel,Individual,Manual,First Owner
Mercedes-Benz,Petrol,Individual,Manual,First Owner
MG,Diesel,Individual,Manual,First Owner
Honda,Petrol,Individual,Manual,First Owner
Toyota,Petrol,Individual,Manual,Second Owner
Volvo,Petrol,Individual,Manual,First Owner
Audi,Petrol,Individual,Manual,First Owner
Maruti,Diesel,Individual,Manual,First Owner
Mercedes-Benz,Diesel,Individual,Manual,First Owner
BMW,Petrol,Individual,Manual,First Owner
Hyundai,Diesel,Individual,Manual,First Owner
Jaguar,Petrol,Individual,Manual,Second Owner
Tata,Petrol,Individual,Manual,First Owner
Volkswagen,Diesel,Individual,Manual,Second Owner
Hyundai,Diesel,Individual,Manual,First Owner
Skoda,Petrol,Individual,Manual,First Owner
Mercedes-Benz,Petrol,Individual,Manual,First Owner
Maruti,LPG,Individual,Manual,First Owner
Mercedes-Benz,Petrol,Individual,Manual,First Owner
Honda,Diesel,Individual,Manual,First Owner
Toyota,Petrol,Individual,Manual,Third Owner
Maruti,Petrol,Individual,Manual,First Owner
Maruti,Diesel,Individual,Manual,First Owner
Toyota,Petrol,Individual,Automatic,Second Owner
Tata,Petrol,Individual,Manual,Second Owner
BMW,Petrol,Individual,Manual,First Owner
Toyota,Diesel,Individual,Manual,First Owner
BMW,Petrol,Individual,Automatic,Second Owner
Toyota,Petrol,Individual,Manual,First Owner
Maruti,Diesel,Individual,Manual,Third Owner
Volvo,Petrol,Individual,Manual,Third Owner
Volkswagen,Petrol,Individual,Manual,Second Owner
Ford,Diesel,Individual,Manual,Second Owner
Ford,Petrol,Individual,Manual,Third Owner
Maruti,Petrol,Individual,Manual,First Owner
Maruti,Petrol,Individual,Manual,Second Owner
Hyundai,CNG,Individual,Manual,First Owner
Maruti,Petrol,Individual,Manual,Second Owner
Maruti,Petrol,Individual,Manual,First Owner
Hyundai,Petrol,Individual,Manual,First Owner
Volkswagen,Petrol,Individual,Manual,First Owner
Hyundai,Petrol,Individual,Manual,First Owner
Maruti,Petrol,Individual,Manual,First Owner
Hyundai,Petrol,Individual,Manual,Second Owner
Honda,Petrol,Individual,Manual,Second Owner
Toyota,Petrol,Individual,Manual,First Owner
